trial,objective,eval_metric,learning_rate,max_depth,subsample,colsample_bytree,seed,rmse_val,best_iteration
1,reg:squarederror,rmse,0.01,3,0.8,0.7,42,24.292092293720223,262
2,reg:squarederror,rmse,0.03,4,0.6,0.6,42,24.603972094310237,130
3,reg:squarederror,rmse,0.1,6,0.6,0.6,42,25.70323697333102,29
4,reg:squarederror,rmse,0.01,4,0.7,0.6,42,24.522989082752847,247
5,reg:squarederror,rmse,0.1,4,1.0,0.7,42,25.345044212590945,22
6,reg:squarederror,rmse,0.08,5,0.6,0.7,42,25.72922526079986,28
7,reg:squarederror,rmse,0.08,5,0.8,0.7,42,25.10311455967113,35
8,reg:squarederror,rmse,0.03,5,0.6,0.6,42,24.81868805100139,104
9,reg:squarederror,rmse,0.08,3,0.8,0.8,42,24.665607317190677,36
10,reg:squarederror,rmse,0.1,5,0.6,1.0,42,25.52227260942915,11
11,reg:squarederror,rmse,0.1,3,1.0,0.6,42,24.937258465011425,35
12,reg:squarederror,rmse,0.1,5,0.8,0.7,42,25.818540957693205,31
13,reg:squarederror,rmse,0.01,3,0.7,0.8,42,24.294171390720745,251
14,reg:squarederror,rmse,0.01,4,0.6,1.0,42,24.33717196377057,197
15,reg:squarederror,rmse,0.05,6,0.8,0.7,42,25.13897589968402,36
16,reg:squarederror,rmse,0.05,5,0.7,0.8,42,24.696662243453197,39
17,reg:squarederror,rmse,0.01,4,0.7,0.7,42,24.40203265027267,246
18,reg:squarederror,rmse,0.08,6,0.8,0.7,42,25.59341234748312,29
19,reg:squarederror,rmse,0.05,3,0.7,0.6,42,24.47948654765148,57
20,reg:squarederror,rmse,0.05,6,0.8,0.6,42,25.37646000615176,54
